"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.728713186E0,-8.951549530E0,1.502991676E0,3.039183855E0
6.748056519E0,-7.018148899E0,9.870393202E-3,3.240180969E0
6.767399852E0,-5.173282623E0,-2.294118702E-1,1.833201289E0
6.786743186E0,-4.500899315E0,9.741778970E-1,-1.121635586E-1
6.806086519E0,-5.828916073E0,3.460320711E0,-1.377966762E0
6.825429852E0,-6.891329288E0,5.501398563E0,-2.292025089E0
6.844773133E0,-6.953542709E0,5.393721104E0,-1.026221752E0
6.864116519E0,-6.305087566E0,5.097011566E0,-7.007979155E-1
6.883459852E0,-4.553541660E0,7.114161015E0,-1.107577801E0
6.902803186E0,-2.258824587E0,1.084217834E1,-1.758425593E0
6.922146519E0,-2.746960402E0,1.241665554E1,-3.605684519E0
6.941489852E0,-3.543770313E0,1.086610699E1,-3.809074640E0
6.960833186E0,-1.842473388E0,1.065075302E1,-2.083849430E0
6.980176467E0,-3.421736360E-1,1.211515999E1,-2.349452734E0
6.999519800E0,-3.349951804E-1,1.223958683E1,-4.017250061E0
7.018863133E0,6.149554253E-1,1.103839016E1,-2.363809586E0
7.038206467E0,2.852244616E0,9.518947601E0,3.400799036E-1
7.057549800E0,2.775674343E0,8.676673889E0,-7.127620578E-1
7.076893133E0,5.599204898E-1,9.483055115E0,-2.540878534E0
7.096236467E0,-9.427721500E-1,9.652945518E0,-6.744768620E-1
7.115579800E0,-2.577069998E0,1.019850922E1,-1.502393484E0
7.134923133E0,1.696511269E0,1.736979866E1,-5.797510147E0
7.154266467E0,1.348116302E1,2.059053802E1,1.573550034E1
7.173609800E0,2.986242771E0,7.427620411E0,-7.845467329E-1
7.192953133E0,-6.620940208E0,2.819044113E0,-9.594920158E0
7.212296467E0,-7.881958008E0,4.558626175E0,-9.202496529E0
7.231639800E0,-9.913464546E0,9.600303650E0,-7.051349163E0
7.250983133E0,-1.050688457E1,1.086371422E1,-6.378965855E0
7.270326467E0,-6.403193474E0,7.793722630E0,-5.259125233E0
7.289669800E0,-3.404986620E0,8.157431602E0,-1.990529299E0
7.309013133E0,9.786644578E-1,1.044736290E1,7.540382147E-1
7.328356467E0,3.945764542E0,1.088046360E1,-1.375573874E0
7.347699748E0,2.713460922E0,9.944869995E0,-2.725125790E0
7.367043081E0,-9.140582681E-1,8.942276955E0,-3.763610840E0
7.386386415E0,-2.598605394E0,8.396714211E0,-2.722733021E0
7.405729748E0,-2.230110645E0,8.485248566E0,-1.890030742E0
7.425073081E0,-1.435693622E0,9.002098083E0,-2.866302490E0
7.444416415E0,4.426721931E-1,9.540482521E0,-2.983550787E0
7.463759748E0,1.265803218E0,9.593125343E0,-2.481057882E0
7.483103081E0,8.566305041E-1,9.435198784E0,-1.832603097E0
7.502446415E0,-6.005984545E-1,9.241379738E0,-1.801496387E0
7.521789748E0,-2.605783939E0,9.231808662E0,-2.184347868E0
7.541133081E0,-3.024527788E0,9.042776108E0,-2.883052111E0
7.560476363E0,-1.897508383E0,9.167202950E0,-2.643769979E0
7.579819696E0,-1.079162955E0,9.588339806E0,-2.701197624E0
7.599163029E0,-1.182054400E0,9.937691689E0,-3.407080412E0
7.618506363E0,-1.450050473E0,1.035882854E1,-3.210868835E0
7.637849696E0,-1.691725612E0,1.066989517E1,-3.050549746E0
7.657193029E0,-1.641476393E0,1.097378349E1,-3.005086184E0
